direction,strength,frequency
N,0-3,0.02
NNE,0-3,0.03
NE,0-3,0.00
ENE,0-3,0.00
E,0-3,0.00
ESE,0-3,0.01
SE,0-3,0.00
SSE,0-3,0.00
S,0-3,0.02
SSW,0-3,0.07
SW,0-3,0.07
WSW,0-3,0.01
W,0-3,0.00
WNW,0-3,0.00
NW,0-3,0.00
NNW,0-3,0.00
N,3-6,0.01
NNE,3-6,0.01
NE,3-6,0.03
ENE,3-6,0.00
E,3-6,0.00
ESE,3-6,0.00
SE,3-6,0.00
SSE,3-6,0.02
S,3-6,0.01
SSW,3-6,0.22
SW,3-6,0.14
WSW,3-6,0.00
W,3-6,0.04
WNW,3-6,0.02
NW,3-6,0.00
NNW,3-6,0.00
N,6-9,0.01
NNE,6-9,0.01
NE,6-9,0.07
ENE,6-9,0.00
E,6-9,0.00
ESE,6-9,0.00
SE,6-9,0.00
SSE,6-9,0.00
S,6-9,0.01
SSW,6-9,0.01
SW,6-9,0.01
WSW,6-9,0.00
W,6-9,0.03
WNW,6-9,0.00
NW,6-9,0.00
NNW,6-9,0.00
N,9-12,0.00
NNE,9-12,0.02
NE,9-12,0.03
ENE,9-12,0.00
E,9-12,0.00
ESE,9-12,0.00
SE,9-12,0.00
SSE,9-12,0.00
S,9-12,0.00
SSW,9-12,0.00
SW,9-12,0.00
WSW,9-12,0.00
W,9-12,0.00
WNW,9-12,0.00
NW,9-12,0.00
NNW,9-12,0.00
N,12-15,0.00
NNE,12-15,0.00
NE,12-15,0.02
ENE,12-15,0.00
E,12-15,0.00
ESE,12-15,0.00
SE,12-15,0.00
SSE,12-15,0.00
S,12-15,0.00
SSW,12-15,0.00
SW,12-15,0.00
WSW,12-15,0.00
W,12-15,0.00
WNW,12-15,0.00
NW,12-15,0.00
NNW,12-15,0.00
N,15-18,0.00
NNE,15-18,0.02
NE,15-18,0.00
ESE,15-18,0.00
ENE,15-18,0.00
E,15-18,0.00
ESE,15-18,0.00
SE,15-18,0.00
SSE,15-18,0.00
S,15-18,0.00
SSW,15-18,0.00
SW,15-18,0.00
WSW,15-18,0.00
W,15-18,0.00
WNW,15-18,0.00
NW,15-18,0.00
NNW,15-18,0.00
N,18-21,0.00
NNE,18-21,0.00
NE,18-21,0.00
ENE,18-21,0.00
E,18-21,0.00
ESE,18-21,0.00
SE,18-21,0.00
SSE,18-21,0.00
S,18-21,0.00
SSW,18-21,0.00
SW,18-21,0.00
WSW,18-21,0.00
W,18-21,0.00
WNW,18-21,0.00
NW,18-21,0.00
NNW,18-21,0.00
N,21-24,0.00
NNE,21-24,0.00
NE,21-24,0.01
ENE,21-24,0.00
E,21-24,0.00
ESE,21-24,0.00
SE,21-24,0.00
SSE,21-24,0.00
S,21-24,0.00
SSW,21-24,0.00
SW,21-24,0.00
WSW,21-24,0.00
W,21-24,0.00
WNW,21-24,0.00
NW,21-24,0.00
NNW,21-24,0.00