DAY,PM25,PM10,SO2,NO,NO2
4-Sep-20,14,34,11,19,44
5-Sep-20,10,24,7,5,28
6-Sep-20,12,21,7,6,31
7-Sep-20,12,27,10,16,54
8-Sep-20,15,37,11,40,57
9-Sep-20,13,37,7,4,30
10-Sep-20,11,28,7,6,35
11-Sep-20,12,27,8,13,42
12-Sep-20,11,25,7,7,31
13-Sep-20,13,0,6,5,26
14-Sep-20,12,0,6,4,30
15-Sep-20,14,0,6,8,38
16-Sep-20,15,0,7,14,44
17-Sep-20,14,43,7,14,36
18-Sep-20,14,31,#DIV/0!,6,33
19-Sep-20,11,31,#DIV/0!,4,23
20-Sep-20,9,26,#DIV/0!,5,24
21-Sep-20,10,21,#DIV/0!,21,34
22-Sep-20,11,26,#DIV/0!,23,38
23-Sep-20,16,36,#DIV/0!,35,39
24-Sep-20,16,33,#DIV/0!,27,37
25-Sep-20,13,27,#DIV/0!,26,39
26-Sep-20,15,35,#DIV/0!,25,33
27-Sep-20,10,25,#DIV/0!,10,29
28-Sep-20,14,43,#DIV/0!,29,35
29-Sep-20,20,27,#DIV/0!,16,33
30-Sep-20,0,17,#DIV/0!,14,38
1-Oct-20,0,19,#DIV/0!,18,43
2-Oct-20,10,28,#DIV/0!,56,44
3-Oct-20,14,30,#DIV/0!,36,30
4-Oct-20,14,32,#DIV/0!,46,26
5-Oct-20,16,44,#DIV/0!,42,32
6-Oct-20,30,66,#DIV/0!,49,41
7-Oct-20,29,61,#DIV/0!,60,38
8-Oct-20,12,30,#DIV/0!,21,29
9-Oct-20,8,18,#DIV/0!,21,33
10-Oct-20,11,25,#DIV/0!,38,37
11-Oct-20,12,27,#DIV/0!,35,32
12-Oct-20,11,25,#DIV/0!,44,31
13-Oct-20,8,21,#DIV/0!,14,27
14-Oct-20,0,22,#DIV/0!,31,35
15-Oct-20,13,31,#DIV/0!,67,40
16-Oct-20,11,31,#DIV/0!,54,34
17-Oct-20,15,40,#DIV/0!,38,29
18-Oct-20,11,25,#DIV/0!,25,31
19-Oct-20,11,23,#DIV/0!,36,39
20-Oct-20,8,19,#DIV/0!,11,35
21-Oct-20,9,16,#DIV/0!,15,31
22-Oct-20,14,26,#DIV/0!,32,43
23-Oct-20,21,40,#DIV/0!,109,54
24-Oct-20,26,66,#DIV/0!,154,52
25-Oct-20,20,0,#DIV/0!,77,38
26-Oct-20,14,0,#DIV/0!,65,47
27-Oct-20,17,25,#DIV/0!,88,48
28-Oct-20,10,24,#DIV/0!,36,35
29-Oct-20,7,21,#DIV/0!,57,35
30-Oct-20,21,44,#DIV/0!,112,38
31-Oct-20,11,31,#DIV/0!,66,39
1-Nov-20,15,0,#DIV/0!,78,38
2-Nov-20,21,0,#DIV/0!,98,47
3-Nov-20,32,0,#DIV/0!,149,47
4-Nov-20,22,0,#DIV/0!,64,37
5-Nov-20,7,0,#DIV/0!,16,35
6-Nov-20,10,0,#DIV/0!,12,33
7-Nov-20,8,0,#DIV/0!,4,19
8-Nov-20,7,0,#DIV/0!,6,19
9-Nov-20,10,0,#DIV/0!,20,30
10-Nov-20,11,0,#DIV/0!,9,29
11-Nov-20,10,0,#DIV/0!,11,25
12-Nov-20,14,0,#DIV/0!,40,33
13-Nov-20,20,0,#DIV/0!,40,37
14-Nov-20,19,0,#DIV/0!,21,32
15-Nov-20,23,0,#DIV/0!,20,32
16-Nov-20,31,0,#DIV/0!,54,43
17-Nov-20,28,0,#DIV/0!,66,43
18-Nov-20,17,0,#DIV/0!,50,39
19-Nov-20,7,0,#DIV/0!,7,25
20-Nov-20,7,0,#DIV/0!,12,30
21-Nov-20,8,0,#DIV/0!,5,22
22-Nov-20,11,0,#DIV/0!,5,20
23-Nov-20,14,0,#DIV/0!,29,34
24-Nov-20,18,0,#DIV/0!,32,34
25-Nov-20,10,0,#DIV/0!,10,31
26-Nov-20,12,0,#DIV/0!,17,37
27-Nov-20,26,0,#DIV/0!,109,53
28-Nov-20,38,0,#DIV/0!,118,50
29-Nov-20,25,0,#DIV/0!,36,37
30-Nov-20,20,0,3,68,49
1-Dec-20,11,0,5,18,31
2-Dec-20,13,0,6,27,41
3-Dec-20,13,0,6,25,45
4-Dec-20,15,0,6,58,52
5-Dec-20,26,0,7,62,49
6-Dec-20,27,0,6,24,43
7-Dec-20,14,0,7,31,50
8-Dec-20,18,0,9,128,59
9-Dec-20,21,0,7,56,33
10-Dec-20,13,0,6,16,34
11-Dec-20,13,0,7,53,50
12-Dec-20,16,0,8,68,43
13-Dec-20,9,0,7,14,31
14-Dec-20,6,0,7,11,24
15-Dec-20,10,0,6,29,32
16-Dec-20,18,24,6,78,48
17-Dec-20,22,29,6,83,46
18-Dec-20,26,39,6,78,47
19-Dec-20,21,26,6,14,34
20-Dec-20,18,25,5,8,26
21-Dec-20,13,21,5,21,35
22-Dec-20,13,20,6,32,40
23-Dec-20,34,48,7,124,55
24-Dec-20,43,57,8,118,44
25-Dec-20,22,28,7,56,36
26-Dec-20,33,49,7,54,28
27-Dec-20,10,19,6,3,12
28-Dec-20,7,14,6,17,33
29-Dec-20,8,18,6,8,28
30-Dec-20,9,23,6,6,23
31-Dec-20,13,29,6,9,29
1-Jan-21,22,27,7,51,39
2-Jan-21,36,52,7,61,49
3-Jan-21,17,32,6,25,28
4-Jan-21,21,38,6,13,35
5-Jan-21,18,27,8,55,46
6-Jan-21,32,43,7,58,43
7-Jan-21,27,47,7,110,61
8-Jan-21,22,45,4,46,41
9-Jan-21,31,75,2,66,35
10-Jan-21,42,82,2,62,34
11-Jan-21,22,68,2,12,29
12-Jan-21,23,68,2,11,31
13-Jan-21,9,16,3,17,38
14-Jan-21,11,17,2,10,37
15-Jan-21,12,19,2,25,43
16-Jan-21,11,13,2,10,25
17-Jan-21,16,17,2,5,19
18-Jan-21,16,21,2,19,38
19-Jan-21,23,29,2,37,48
20-Jan-21,0,44,5,157,74
21-Jan-21,29,62,4,242,79
22-Jan-21,31,55,2,151,64
23-Jan-21,10,22,2,8,21
24-Jan-21,8,16,2,13,29
25-Jan-21,8,19,3,10,31
26-Jan-21,11,29,2,25,41
27-Jan-21,8,10,2,9,25
28-Jan-21,12,15,4,35,44
29-Jan-21,34,49,3,120,68
30-Jan-21,26,44,3,95,54
31-Jan-21,28,44,2,57,33
1-Feb-21,16,40,2,31,48
2-Feb-21,19,39,3,99,54
3-Feb-21,30,51,3,90,61
4-Feb-21,24,37,2,50,54
5-Feb-21,29,47,3,110,64
6-Feb-21,31,52,3,105,55
7-Feb-21,23,36,3,47,41
8-Feb-21,13,28,2,9,26
9-Feb-21,16,42,2,44,41
10-Feb-21,16,34,3,29,50
11-Feb-21,21,57,2,27,37
12-Feb-21,13,27,2,48,47
13-Feb-21,13,22,2,9,28
14-Feb-21,9,11,2,5,19
15-Feb-21,7,9,2,7,23
16-Feb-21,17,18,2,4,24
17-Feb-21,31,39,2,67,48
18-Feb-21,48,73,3,152,73
19-Feb-21,41,65,4,146,74
20-Feb-21,37,63,3,86,61
21-Feb-21,22,0,2,8,30
22-Feb-21,29,55,2,73,64
23-Feb-21,41,67,6,175,82
24-Feb-21,32,52,5,115,67
25-Feb-21,21,33,2,9,33
26-Feb-21,22,40,3,29,50
27-Feb-21,33,57,6,73,63
28-Feb-21,35,53,2,24,30
1-Mar-21,13,20,2,19,41
2-Mar-21,9,17,2,10,29
3-Mar-21,12,19,2,19,42
4-Mar-21,30,41,7,62,67
5-Mar-21,32,50,4,70,66
6-Mar-21,18,29,2,10,49
7-Mar-21,0,0,#DIV/0!,#DIV/0!,#DIV/0!
8-Mar-21,10,19,2,4,35
9-Mar-21,16,26,3,16,48
10-Mar-21,21,37,4,31,56
11-Mar-21,11,25,3,7,27
12-Mar-21,15,21,3,14,39
13-Mar-21,29,43,4,47,54
14-Mar-21,31,44,3,12,39
15-Mar-21,11,23,4,6,20
16-Mar-21,5,15,4,5,21
17-Mar-21,7,16,5,8,28
18-Mar-21,6,14,4,9,31
19-Mar-21,10,17,3,11,41
20-Mar-21,17,28,2,12,39
21-Mar-21,17,34,3,7,29
22-Mar-21,15,34,4,7,32
23-Mar-21,8,15,2,12,31
24-Mar-21,10,15,2,6,22
25-Mar-21,10,12,2,3,17
26-Mar-21,17,25,4,33,52
27-Mar-21,26,36,3,27,53
28-Mar-21,33,43,4,27,52
29-Mar-21,29,46,4,49,63
30-Mar-21,11,19,2,8,33
31-Mar-21,10,18,2,8,28
1-Apr-21,17,29,2,25,49
2-Apr-21,29,48,5,81,66
3-Apr-21,19,32,3,10,43
4-Apr-21,17,36,3,3,23
5-Apr-21,15,42,2,23,42
6-Apr-21,15,40,4,13,34
7-Apr-21,11,22,3,5,27
8-Apr-21,11,24,2,9,35
9-Apr-21,10,14,2,6,28
10-Apr-21,12,18,2,9,37
11-Apr-21,22,29,4,9,41
12-Apr-21,20,30,3,27,56
13-Apr-21,21,34,5,33,57
14-Apr-21,24,38,3,39,55
15-Apr-21,13,27,5,18,40
16-Apr-21,15,29,2,12,40
17-Apr-21,19,31,2,5,26
18-Apr-21,30,50,4,6,37
19-Apr-21,24,42,4,20,45
20-Apr-21,8,13,2,5,27
21-Apr-21,8,15,4,6,35
22-Apr-21,13,21,3,23,44
23-Apr-21,14,27,2,21,58
24-Apr-21,10,14,2,7,28
25-Apr-21,12,18,2,6,26
26-Apr-21,16,26,2,18,58
27-Apr-21,18,30,4,18,46
28-Apr-21,17,34,3,18,45
29-Apr-21,23,50,4,36,66
30-Apr-21,24,56,7,34,59
1-May-21,26,53,9,52,75
2-May-21,42,70,6,37,67
3-May-21,27,56,5,39,61
4-May-21,13,36,3,7,38
5-May-21,15,0,7,16,45
6-May-21,12,25,6,10,41
7-May-21,15,31,4,21,58
8-May-21,14,28,9,13,50
9-May-21,9,23,2,3,16
10-May-21,9,21,2,11,38
11-May-21,9,19,3,15,50
12-May-21,12,22,3,14,55
13-May-21,14,28,5,11,42
14-May-21,9,21,7,8,36
15-May-21,13,26,6,15,53
16-May-21,7,15,5,4,30
17-May-21,9,21,4,11,42
18-May-21,9,23,4,13,44
19-May-21,15,31,5,27,58
20-May-21,26,42,4,9,37
21-May-21,6,16,3,7,32
22-May-21,13,22,3,10,36
23-May-21,14,25,5,5,40
24-May-21,21,37,8,38,85
25-May-21,17,37,8,20,72
26-May-21,19,38,5,15,65
27-May-21,15,32,6,9,55
28-May-21,12,28,7,9,47
29-May-21,13,23,4,5,32
30-May-21,13,23,3,5,36
31-May-21,14,24,5,8,39
1-Jun-21,9,17,3,5,26
2-Jun-21,9,16,3,8,34
3-Jun-21,14,23,5,11,43
4-Jun-21,13,23,2,12,50
5-Jun-21,12,22,2,5,34
6-Jun-21,18,29,4,6,40
7-Jun-21,18,33,5,16,54
8-Jun-21,16,30,4,16,55
9-Jun-21,15,25,3,12,43
10-Jun-21,14,23,3,10,46
11-Jun-21,17,32,3,44,70
12-Jun-21,20,34,4,31,52
13-Jun-21,21,22,4,9,36
14-Jun-21,11,20,3,12,43
15-Jun-21,10,14,2,11,38
16-Jun-21,14,21,4,19,53
17-Jun-21,17,28,5,30,60
18-Jun-21,18,28,6,21,65
19-Jun-21,20,29,11,16,55
20-Jun-21,20,27,#DIV/0!,#DIV/0!,#DIV/0!
21-Jun-21,18,27,#DIV/0!,#DIV/0!,#DIV/0!
22-Jun-21,18,24,#DIV/0!,#DIV/0!,#DIV/0!
23-Jun-21,0,0,#DIV/0!,#DIV/0!,#DIV/0!
24-Jun-21,0,0,#DIV/0!,#DIV/0!,#DIV/0!
25-Jun-21,23,54,2,#DIV/0!,#DIV/0!
26-Jun-21,32,64,6,#DIV/0!,#DIV/0!
27-Jun-21,27,50,4,#DIV/0!,#DIV/0!
28-Jun-21,21,37,4,#DIV/0!,#DIV/0!
29-Jun-21,21,35,2,#DIV/0!,#DIV/0!
30-Jun-21,21,36,2,#DIV/0!,#DIV/0!
1-Jul-21,25,53,3,#DIV/0!,#DIV/0!
2-Jul-21,17,45,4,#DIV/0!,#DIV/0!
3-Jul-21,14,28,2,#DIV/0!,#DIV/0!
4-Jul-21,0,0,#DIV/0!,#DIV/0!,#DIV/0!
5-Jul-21,11,22,2,#DIV/0!,#DIV/0!
6-Jul-21,17,31,2,#DIV/0!,#DIV/0!
7-Jul-21,18,33,2,#DIV/0!,#DIV/0!
8-Jul-21,15,24,2,#DIV/0!,#DIV/0!
9-Jul-21,12,21,2,#DIV/0!,#DIV/0!
10-Jul-21,10,23,2,#DIV/0!,#DIV/0!
11-Jul-21,11,21,2,#DIV/0!,#DIV/0!
12-Jul-21,14,24,2,#DIV/0!,#DIV/0!
13-Jul-21,16,29,2,#DIV/0!,#DIV/0!
14-Jul-21,15,29,2,#DIV/0!,#DIV/0!
15-Jul-21,15,30,2,#DIV/0!,#DIV/0!
16-Jul-21,17,36,2,#DIV/0!,#DIV/0!
17-Jul-21,16,36,3,#DIV/0!,#DIV/0!
18-Jul-21,17,34,2,#DIV/0!,#DIV/0!
19-Jul-21,14,28,2,#DIV/0!,#DIV/0!
20-Jul-21,13,21,2,#DIV/0!,#DIV/0!
21-Jul-21,16,31,2,#DIV/0!,#DIV/0!
22-Jul-21,16,29,2,#DIV/0!,#DIV/0!
23-Jul-21,12,20,2,#DIV/0!,#DIV/0!
24-Jul-21,11,22,2,#DIV/0!,#DIV/0!
25-Jul-21,11,21,2,#DIV/0!,#DIV/0!
26-Jul-21,12,22,2,#DIV/0!,#DIV/0!
27-Jul-21,12,22,2,#DIV/0!,#DIV/0!
28-Jul-21,12,25,2,#DIV/0!,#DIV/0!
29-Jul-21,21,42,2,#DIV/0!,#DIV/0!
30-Jul-21,28,57,4,#DIV/0!,#DIV/0!
31-Jul-21,33,64,4,#DIV/0!,#DIV/0!
1-Aug-21,32,60,3,#DIV/0!,#DIV/0!
2-Aug-21,30,56,4,#DIV/0!,#DIV/0!
3-Aug-21,34,69,3,#DIV/0!,#DIV/0!
4-Aug-21,73,115,6,#DIV/0!,#DIV/0!
5-Aug-21,34,66,6,#DIV/0!,#DIV/0!
6-Aug-21,40,76,4,#DIV/0!,#DIV/0!
7-Aug-21,32,51,2,#DIV/0!,#DIV/0!
8-Aug-21,18,26,2,#DIV/0!,#DIV/0!
9-Aug-21,18,30,2,#DIV/0!,#DIV/0!
10-Aug-21,28,43,5,#DIV/0!,#DIV/0!
11-Aug-21,24,38,5,#DIV/0!,#DIV/0!
12-Aug-21,14,29,2,#DIV/0!,#DIV/0!
13-Aug-21,12,19,2,#DIV/0!,#DIV/0!
14-Aug-21,11,21,2,#DIV/0!,#DIV/0!
15-Aug-21,10,16,2,#DIV/0!,#DIV/0!
16-Aug-21,10,16,2,#DIV/0!,#DIV/0!
17-Aug-21,16,23,3,#DIV/0!,#DIV/0!
18-Aug-21,22,34,2,#DIV/0!,#DIV/0!
19-Aug-21,19,29,2,#DIV/0!,#DIV/0!
20-Aug-21,13,22,2,#DIV/0!,#DIV/0!
21-Aug-21,11,17,2,#DIV/0!,#DIV/0!
22-Aug-21,12,18,2,#DIV/0!,#DIV/0!
23-Aug-21,14,23,2,#DIV/0!,#DIV/0!
24-Aug-21,13,20,2,#DIV/0!,#DIV/0!
25-Aug-21,14,24,2,#DIV/0!,#DIV/0!
26-Aug-21,20,33,3,#DIV/0!,#DIV/0!
27-Aug-21,20,38,2,#DIV/0!,#DIV/0!
28-Aug-21,19,25,2,#DIV/0!,#DIV/0!
29-Aug-21,0,23,2,#DIV/0!,#DIV/0!
30-Aug-21,0,21,3,#DIV/0!,#DIV/0!
31-Aug-21,17,28,2,#DIV/0!,#DIV/0!
1-Sep-21,14,30,2,#DIV/0!,#DIV/0!
2-Sep-21,15,26,2,#DIV/0!,#DIV/0!
3-Sep-21,12,22,2,#DIV/0!,#DIV/0!
4-Sep-21,11,21,2,#DIV/0!,#DIV/0!
5-Sep-21,12,21,2,#DIV/0!,#DIV/0!
6-Sep-21,11,27,2,#DIV/0!,#DIV/0!
7-Sep-21,11,31,2,7,26
8-Sep-21,13,28,2,10,30
9-Sep-21,9,14,2,8,28
10-Sep-21,14,22,2,12,43
11-Sep-21,15,28,2,15,45
12-Sep-21,17,33,4,6,36
13-Sep-21,18,34,3,13,44
14-Sep-21,15,33,4,17,50
15-Sep-21,23,45,3,48,80
16-Sep-21,25,44,6,46,75
17-Sep-21,26,49,6,50,73
18-Sep-21,20,44,4,36,61
19-Sep-21,21,46,6,50,56
20-Sep-21,20,48,4,42,59
21-Sep-21,18,38,7,20,57
22-Sep-21,18,32,4,15,48
23-Sep-21,11,18,2,15,37
24-Sep-21,12,20,6,19,53
25-Sep-21,20,37,4,61,71
26-Sep-21,18,32,5,49,64
27-Sep-21,22,40,6,88,87
28-Sep-21,17,31,4,25,63
29-Sep-21,11,20,2,13,34
30-Sep-21,9,0,2,10,32
1-Oct-21,11,24,2,10,30
2-Oct-21,10,20,2,6,25
3-Oct-21,9,18,2,8,30
4-Oct-21,11,21,2,23,51
5-Oct-21,14,26,3,25,49
6-Oct-21,12,26,2,13,38
7-Oct-21,10,24,2,13,40
8-Oct-21,18,33,2,30,66
9-Oct-21,16,22,2,17,45
10-Oct-21,16,27,2,24,45
11-Oct-21,13,29,2,46,47
12-Oct-21,14,30,3,51,50
13-Oct-21,14,26,4,69,59
14-Oct-21,12,20,2,43,61
15-Oct-21,10,21,2,24,43
16-Oct-21,13,23,4,27,42
17-Oct-21,14,21,2,17,40
18-Oct-21,11,18,2,25,45
19-Oct-21,14,23,2,23,50
20-Oct-21,18,29,2,40,56
21-Oct-21,22,35,4,43,54
22-Oct-21,22,38,3,96,62
23-Oct-21,21,37,4,73,56
24-Oct-21,22,38,3,77,41
25-Oct-21,10,20,2,12,28
26-Oct-21,10,19,2,20,38
27-Oct-21,14,24,2,31,48
28-Oct-21,11,19,2,9,27
29-Oct-21,13,22,2,16,38
30-Oct-21,17,31,2,20,50
31-Oct-21,18,28,2,9,35
1-Nov-21,24,35,3,58,69
2-Nov-21,22,40,2,36,55
3-Nov-21,21,42,4,113,64
4-Nov-21,24,49,2,98,56
5-Nov-21,25,50,2,61,55
6-Nov-21,50,78,3,84,83
7-Nov-21,35,64,3,120,56
8-Nov-21,32,56,2,53,52
9-Nov-21,32,57,2,42,55
10-Nov-21,14,26,2,13,24
11-Nov-21,12,24,2,28,48
12-Nov-21,19,29,2,35,58
13-Nov-21,33,45,3,51,52
14-Nov-21,36,47,3,20,52
15-Nov-21,31,41,3,46,56
16-Nov-21,23,35,2,37,48
17-Nov-21,17,29,2,27,43
18-Nov-21,20,29,2,28,53
19-Nov-21,22,28,2,27,47
20-Nov-21,18,23,2,19,38
21-Nov-21,26,35,3,78,58
22-Nov-21,30,46,3,103,53
23-Nov-21,16,25,2,67,48
24-Nov-21,13,18,2,23,37
25-Nov-21,13,20,2,29,44
26-Nov-21,29,34,4,155,29
27-Nov-21,29,56,6,146,27
28-Nov-21,16,37,5,47,24
29-Nov-21,26,80,5,16,29
30-Nov-21,9,19,4,15,30
1-Dec-21,11,22,3,40,38
2-Dec-21,22,41,4,135,41
3-Dec-21,23,49,5,141,31
4-Dec-21,22,36,4,53,25
5-Dec-21,29,42,4,93,25
6-Dec-21,22,46,4,120,30
7-Dec-21,12,28,4,25,33
8-Dec-21,13,21,7,51,29
9-Dec-21,16,38,4,70,33
10-Dec-21,13,46,4,12,38
11-Dec-21,12,0,4,12,25
12-Dec-21,11,0,4,29,30
13-Dec-21,20,28,5,55,35
14-Dec-21,9,13,5,24,27
15-Dec-21,10,16,4,29,28
16-Dec-21,19,29,5,63,42
17-Dec-21,26,36,7,74,49
18-Dec-21,10,16,5,11,23
19-Dec-21,11,14,4,14,27
20-Dec-21,45,62,9,174,45
21-Dec-21,19,30,6,52,34
22-Dec-21,17,25,5,43,32
23-Dec-21,20,33,4,48,37
24-Dec-21,36,53,8,108,46
25-Dec-21,33,46,8,146,36
26-Dec-21,36,57,10,149,32
27-Dec-21,19,39,8,63,33
28-Dec-21,14,27,7,25,29
29-Dec-21,21,33,9,90,33
30-Dec-21,22,34,9,90,23
31-Dec-21,17,22,6,41,25